Asilo,https://www.tripadvisor.com/Restaurant_Review-g304554-d6427422-Reviews-Asilo-Mumbai_Bombay_Maharashtra.html,Asilo - The Rooftop Bar at St Regis,"Awesome views, nice food",,,
The Blue Frog Club,https://www.tripadvisor.com/Restaurant_Review-g304554-d1095184-Reviews-The_Blue_Frog_Club-Mumbai_Bombay_Maharashtra.html,Great music,Great venue!,,,
Indigo Delicatessen,https://www.tripadvisor.com/Restaurant_Review-g304554-d798688-Reviews-Indigo_Delicatessen-Mumbai_Bombay_Maharashtra.html,A Breakfast Worth Paying For,The original Indigo Deli,,,
O:h Cha Kitchen & Bar,https://www.tripadvisor.com/Restaurant_Review-g304554-d6616014-Reviews-O_h_Cha_Kitchen_Bar-Mumbai_Bombay_Maharashtra.html,good food,Oh Cha -Pan Asian Strikes Back,,,
Ming Yang,https://www.tripadvisor.com/Restaurant_Review-g304554-d4186971-Reviews-Ming_Yang-Mumbai_Bombay_Maharashtra.html,"Ming Yang @ Bandra West, Mumbai",Fine dining at Ming Yang,,,
Badshah,https://www.tripadvisor.com/Restaurant_Review-g304554-d1013854-Reviews-Badshah-Mumbai_Bombay_Maharashtra.html,Badshah,Great and Consistent,,,
Namak,https://www.tripadvisor.com/Restaurant_Review-g304554-d2034920-Reviews-Namak-Mumbai_Bombay_Maharashtra.html,Birthday dinner,Yummy all the way,,,
Masala Bay,https://www.tripadvisor.com/Restaurant_Review-g304554-d813852-Reviews-Masala_Bay-Mumbai_Bombay_Maharashtra.html,"Excellent food, ambience and service.",Great,,,
JW Cafe,https://www.tripadvisor.com/Restaurant_Review-g304554-d8025191-Reviews-JW_Cafe-Mumbai_Bombay_Maharashtra.html,Visited JW cafe for dinner on 28th June,Truly best dinner experience at JW Marriot...,,,
The Fatty Bao,https://www.tripadvisor.com/Restaurant_Review-g304554-d8543333-Reviews-The_Fatty_Bao-Mumbai_Bombay_Maharashtra.html,Good lively place and good food,Lovely Food,,,
Baluchi,https://www.tripadvisor.com/Restaurant_Review-g304554-d2636549-Reviews-Baluchi-Mumbai_Bombay_Maharashtra.html,very authentic food,Delighted to feel the personalised touch o...,,,
Gallops,https://www.tripadvisor.com/Restaurant_Review-g304554-d816060-Reviews-Gallops-Mumbai_Bombay_Maharashtra.html,Extensive Menu,Something nice,,,
Lake View Cafe,https://www.tripadvisor.com/Restaurant_Review-g304554-d1957837-Reviews-Lake_View_Cafe-Mumbai_Bombay_Maharashtra.html,very nice,Good food and wine,,,
Gajalee,https://www.tripadvisor.com/Restaurant_Review-g304554-d1468594-Reviews-Gajalee-Mumbai_Bombay_Maharashtra.html,Go to Place for DELICIOUS SEAFOOD delicaci...,Seafood at its best!,,,
Pot Pourri,https://www.tripadvisor.com/Restaurant_Review-g304554-d2510410-Reviews-Pot_Pourri-Mumbai_Bombay_Maharashtra.html,Gone to mall,Nice place !!!,,,
Citrus,https://www.tripadvisor.com/Restaurant_Review-g304554-d1500751-Reviews-Citrus-Mumbai_Bombay_Maharashtra.html,Citrus Restaurant at The Leela Hotel,Good Breakfast spread,,,
Lotus Cafe,https://www.tripadvisor.com/Restaurant_Review-g304554-d1138825-Reviews-Lotus_Cafe-Mumbai_Bombay_Maharashtra.html,A huge spread of YUM food,Lavish breakfast,,,
Smoke House Deli,https://www.tripadvisor.com/Restaurant_Review-g304554-d6206947-Reviews-Smoke_House_Deli-Mumbai_Bombay_Maharashtra.html,Smoke house bandra,Lovely as always!,,,
